Margin D,% Home Ownership,% Married Couples,% Poverty,% Bachelor's Degree or Higher,% Less than High School,% Non-Hispanic White,% Black,% Native,% Asian,% Hispanic,% Foreign Born
-43.19,77.4784,67.1959,16.6584,12.3388,16.715,68.2338,25.2738,0.222,0.1924,5.4317,2.4815
-53.32,76.1486,66.4529,13.109,17.882,11.2699,94.7088,0.1617,0.4224,0.4345,2.3825,1.7839
-26.45,66.5734,70.6578,9.4394,33.3512,11.4182,73.3307,1.65,1.2643,3.8358,16.6169,11.5804
-61.87,71.7906,67.4226,14.6574,16.1375,12.589,93.871,0.3348,0.5679,0.3723,2.4939,0.8143
-30.68,65.1731,55.0375,20.5102,14.3351,18.9628,55.4994,28.8026,0,0.0644,15.3853,7.1639
-53.03,84.8108,57.0411,13.4494,11.407,15.7654,72.4576,21.4753,0.1733,0,3.9869,1.0978
-28.83,75.7339,70.3753,14.7993,21.222,13.7215,79.621,0.5006,0.7366,1.3839,14.958,8.6036
12.38,61.7748,51.8238,28.8817,15.885,19.2313,38.7282,53.8766,0.1413,0.5841,5.5016,2.3175
-14.04,57.5302,56.5253,20.2899,26.6343,10.0448,68.6903,24.2384,0.3574,0.6969,4.7306,2.7696
-60.27,67.4115,58.7299,21.1249,12.5701,17.5297,95.3388,0.6716,0.2955,0.0269,2.0619,0.8395
-65.77,75.211,67.6086,13.9604,15.5459,14.0534,94.6733,0.3904,1.1713,0.6653,2.4263,1.3785
-61.56,76.0336,63.4747,18.3938,16.2485,10.4229,84.5719,12.7953,0.1722,0,1.2426,0.8489
-31.17,70.4158,52.7586,24.9943,19.6371,14.1259,59.2741,35.9186,0.1851,1.0683,2.7128,1.6824
-35.45,67.2764,63.452,17.5957,15.622,12.9504,81.585,10.2599,0.2541,0.2972,3.9218,2.4211
-35.42,57.0949,56.07,16.6275,26.2325,10.6751,76.0315,14.5,0.1919,1.4067,5.0501,4.0104
-56.66,76.0122,65.4377,17.1575,15.967,15.0204,84.2682,1.3915,1.7931,1.8473,7.7336,4.0087
7.22,57.4394,46.016,22.2201,17.4379,17.3895,41.9851,47.8222,0.265,0.6924,2.56,1.771
-45.72,66.842,60.3868,15.4493,14.4272,16.3554,72.6522,18.6698,0.208,0.0297,0.9926,0.2734
-23.03,67.6996,55.0603,14.6562,11.8562,16.0544,53.1254,43.2202,0.5633,0.055,1.3463,0.2335
2.28,61.4719,53.3419,29.1396,14.0557,18.9369,45.2302,46.5966,0.205,0.4356,6.132,3.5955
-27.84,67.696,64.046,18.8336,22.7768,13.0864,66.2757,28.6094,0,0.3258,3.4316,1.2271
-29.53,62.313,61.2078,16.6738,30.5566,8.1667,80.037,11.3392,0.3842,1.3274,4.0931,3.2275
-61.39,70.5042,65.9472,23.004,12.1411,16.2769,92.0453,0.9528,1.1388,0.8231,3.0218,1.2685
-57.16,79.7305,65.3303,20.71,12.2359,14.4052,94.9064,0.4742,0.327,0.0654,1.6025,1.7088
-33.99,67.8206,57.2677,18.6175,21.638,10.8847,82.0608,8.1731,0.8472,0.5966,5.6344,3.806
-67.39,80.1253,64.5264,14.5231,18.7107,9.1981,92.5687,2.5654,0.1545,0.0386,2.7474,1.5944
-59.71,67.0048,62.322,16.4383,16.1568,11.7577,92.9991,1.916,0.2693,0.365,2.8507,0.741
-34.05,69.2735,58.3489,22.6923,15.0883,17.3843,54.6058,29.9789,0.3159,0.119,12.8193,4.6699
-48.74,77.8554,66.2012,18.0375,13.2837,14.1687,82.5342,11.3582,0.4524,0.3959,3.5003,1.137
-41.93,68.942,58.518,19.3906,13.5748,14.7705,64.1424,20.8775,0.2329,0.2705,12.5385,6.4608
-58.18,71.645,62.3542,16.6897,17.5384,13.9798,88.7087,1.8115,0.187,0.7054,6.3136,2.8268
-62.14,76.0668,65.4639,15.0911,13.0652,16.2138,92.9329,1.8276,0.958,0,2.3139,1.1349
-43.77,69.3661,52.489,24.356,10.1499,19.8329,76.8309,12.2041,0.1527,0.047,2.8895,0.3994
21.71,62.1022,48.2525,22.2007,17.9921,13.856,38.8846,56.4865,0.2829,0.9526,2.1001,1.6411
-49.01,70.4193,62.5919,22.7239,15.378,21.1125,79.1787,1.5585,0.2389,2.059,13.9201,9.3622
-34.26,79.0948,53.3293,25.9031,15.8066,20.2937,58.5882,35.7647,0.4118,0.3971,2.6765,1.9706
-59.57,67.3217,62.9375,15.6454,15.4065,15.8696,95.2626,1.1239,0.2659,0.1511,1.5469,0.8278
4.81,59.7941,53.5323,22.1015,10.7492,24.1635,41.0376,55.3296,0.2393,0.1631,2.5016,1.142
-43.8,77.127,70.6804,20.0312,9.7343,18.916,64.1992,30.5165,0.4682,0,3.9316,1.7837
-48.08,71.5271,58.8399,16.1349,12.5374,11.0421,72.8922,21.9487,1.0448,0.3402,1.5307,0.3564
-59.54,73.6842,65.2401,18.7111,13.3451,13.7697,90.4375,1.3753,0.8446,2.1876,2.9767,1.5138
-52.82,69.2471,68.4038,12.2277,20.6076,10.8716,86.0013,5.6378,0.6549,0.7831,4.4686,2.315
-55.71,78.022,67.5656,17.4081,14.2231,19.3577,89.3344,0.0987,1.0178,1.2029,5.7245,3.4544
-56.67,78.8558,59.9718,18.2008,17.0714,13.4921,94.1005,0.4856,0.6494,0.8922,2.3003,1.9908
-46.44,64.6475,55.1951,20.0598,16.756,13.5464,68.4729,24.6443,0.6908,0.397,3.3278,2.0311
-22.19,56.361,49.1216,24.3214,13.838,18.8507,58.2775,33.7369,0.057,0.565,4.1305,1.7709
-14.14,59.886,44.6421,27.0809,12.6987,21.1447,54.156,42.9787,0.2979,0.4255,0.6383,0.3262
-59.78,81.3266,67.0221,21.3044,13.4889,20.2034,90.9274,0.2905,1.4749,0.4022,4.3352,2.6816
